YEAR,MONTH,TMAX_C
1940,4,32.2
1940,4,32.8
1940,4,35.0
1940,9,33.9
1940,10,32.8
1940,10,32.2
1941,11,32.2
1942,10,32.2
1942,10,32.2
1945,9,32.2
1945,9,32.2
1945,10,34.4
1945,11,32.2
1946,9,32.2
1947,4,33.3
1947,4,33.3
1948,4,32.2
1949,9,33.3
1949,11,33.3
1949,11,33.3
1949,11,32.2
1950,10,32.2
1950,11,33.3
1950,11,32.8
1951,10,32.8
1951,10,32.2
1952,9,32.2
1952,9,32.2
1953,5,32.2
1953,5,32.2
1953,5,35.6
1953,10,34.4
1953,10,34.4
1953,10,32.2
1955,8,36.7
1955,9,40.0
1955,9,37.2
1955,9,32.2
1956,5,32.8
1956,5,33.3
1956,5,34.4
1956,9,35.6
1956,9,32.8
1956,11,35.6
1956,11,32.8
1957,6,33.9
1957,6,36.1
1957,6,32.2
1958,9,32.8
1958,10,32.8
1958,10,36.1
1958,10,36.7
1958,10,32.2
1959,7,33.9
1959,9,38.9
1960,4,33.3
1960,9,32.2
1960,10,32.8
1961,9,35.0
1961,9,32.2
1961,10,41.7
1961,10,36.1
1961,10,32.8
1963,9,33.3
1963,9,35.6
1963,9,43.9
1963,9,40.0
1963,9,37.2
1964,4,32.8
1964,10,36.1
1964,10,35.0
1965,10,33.9
1965,10,32.8
1965,10,38.3
1965,10,40.0
1965,10,33.9
1965,10,34.4
1966,11,36.1
1966,11,32.2
1967,5,32.8
1967,10,32.8
1968,4,32.2
1968,9,33.9
1970,9,32.8
1970,9,36.1
1970,9,33.9
1971,4,32.8
1971,9,32.2
1971,9,34.4
1971,9,33.3
1971,10,36.1
1971,10,38.3
1971,10,33.3
1972,7,33.3
1972,8,32.2
1972,8,32.2
1973,6,32.2
1973,9,32.8
1973,9,33.9
1973,9,32.2
1973,10,32.2
1974,10,33.3
1974,11,32.8
1975,9,39.4
1975,9,35.6
1975,9,32.2
1976,6,34.4
1976,6,32.2
1976,10,32.8
1976,10,33.3
1976,11,32.2
1976,11,36.1
1976,11,33.3
1978,3,32.8
1978,3,33.9
1978,6,32.2
1978,9,35.0
1978,9,37.2
1978,9,38.3
1978,9,33.9
1979,5,34.4
1979,6,32.2
1979,6,38.3
1979,6,36.7
1979,6,32.2
1979,6,32.2
1979,9,37.8
1979,9,36.1
1979,9,33.3
1979,9,32.2
1979,9,32.8
1980,6,35.0
1980,7,33.3
1980,7,32.2
1981,6,36.1
1981,6,37.8
1981,7,32.2
1981,8,33.3
1981,9,32.8
1982,9,32.8
1982,9,32.2
1982,10,32.2
1983,8,32.2
1983,9,33.3
1983,9,33.3
1983,10,33.3
1983,10,35.0
1983,10,33.3
1984,7,32.2
1984,9,32.8
1984,9,37.8
1984,9,32.2
1984,9,32.8
1985,6,35.6
1985,7,35.0
1985,7,34.4
1985,7,35.0
1985,8,32.2
1985,10,36.7
1985,10,32.8
1986,8,32.2
1987,10,40.0
1987,10,36.1
1988,3,33.9
1988,9,33.3
1988,9,41.7
1988,9,36.1
1989,4,32.2
1989,4,35.0
1989,4,36.7
1989,4,33.9
1989,9,32.2
1989,9,37.8
1990,6,34.4
1990,6,32.8
1990,10,32.2
1991,8,34.4
1991,10,33.3
1992,9,32.8
1994,8,33.9
1994,8,32.2
1994,9,33.9
1994,10,37.2
1995,2,32.2
1997,9,33.3
1997,9,33.3
1997,10,32.2
1997,10,32.2
1997,10,32.8
1997,11,32.2
1998,9,33.3
1999,9,32.2
2002,9,32.8
2004,3,32.8
2004,5,33.9
2004,5,33.9
2004,9,35.6
2006,6,35.6
2006,7,37.2
2007,9,32.8
2008,4,34.4
2008,6,33.3
2008,10,34.4
2009,4,32.8
2009,4,36.7
2009,8,32.8
2009,8,32.8
2010,9,35.0
2010,11,33.9
2010,11,37.8
2011,9,36.1
2012,9,38.3
2012,9,32.2
2012,10,33.3
2014,4,32.8
2014,4,34.4
2014,5,35.0
2014,5,32.8
2014,5,34.4
2014,5,33.9
2014,5,36.1
2014,5,33.3
2014,9,32.2
2014,9,33.9
2014,10,32.2
2014,10,33.9
2014,10,32.2
2014,11,32.8
2015,3,32.2
2015,8,32.2
2015,9,35.0
2015,9,35.6
2015,9,33.3
2015,10,37.2
2015,10,35.6
2015,10,34.4
2015,10,34.4
2016,9,32.2
2016,9,38.3
2016,9,33.3
2016,10,32.8
2016,11,35.6
2016,11,32.2
2017,9,34.4
2017,9,32.8
2017,10,32.2
2017,10,33.3
2017,10,36.1
2017,10,36.7
2017,11,33.3
2018,7,35.6
2018,8,32.8
2018,8,32.2
2019,10,33.3
2019,10,34.4
2019,10,32.2
2019,11,32.8
2020,6,33.9
2020,9,32.8
2020,9,37.8
2020,9,32.2
2020,9,32.2
2020,9,35.6
2020,10,36.1
2020,10,32.8
2020,10,32.2
2020,11,32.2
2021,10,32.2
2021,11,33.3
2022,2,32.8
2022,4,35.0
2022,9,35.0
2022,9,32.8
2022,9,34.4
2022,10,35.0
2024,9,32.2
2024,9,34.4
2024,9,33.9
